gene,case_missense_mpc_2,control_missense_mpc_2,sample_missense_mpc_2,pval_missense_mpc_2,OR_missense_mpc_2,lowci_missense_mpc_2,highci_missense_mpc_2
EVI5,80,187,267,0.2929997852773531,0.8651314017296855,0.6553460833253567,1.1334288110715678
EVI5L,8,14,22,0.8209959253971318,1.1595763503654215,0.4211015518337873,2.964663737986759
EVL,14,38,52,0.3793557113967521,0.7465064443927414,0.3731435594315445,1.4115484123748163
EVPL,343,577,920,0.004897923670325016,1.2260043082080254,1.0630460748758257,1.4124543173508168
EVPLL,22,26,48,0.06524144120803246,1.7206789209100561,0.9282202099864274,3.162370714111053
EVX1,9,15,24,0.6662833649636054,1.21769850909113,0.46941299484228355,2.972971494910761
EVX2,19,29,48,0.35698780788827195,1.3308119694647305,0.7041722389066593,2.459195722979769
EWSR1,17,43,60,0.4932164865586798,0.8012177357864975,0.4277996161438777,1.436534335316715
EXD1,58,144,202,0.200054384093078,0.8143741478460309,0.5882192551571132,1.1149183944991565
EXD2,51,63,114,0.009099154906806801,1.6508557373565655,1.1159022720964025,2.431780620622352
EXD3,186,447,633,0.045706829379753476,0.8363196592449459,0.6977890891707466,0.9992433339866675
EXO1,285,546,831,0.42172186225587255,1.0636384351221477,0.9132838099762961,1.2368006835255128
EXO5,19,31,50,0.45391334919329146,1.2445616581060788,0.6633926048264253,2.2772761138266424
EXOC1,102,175,277,0.1749379331966156,1.1873703496608945,0.9179169114297789,1.5294272279222125
EXOC2,55,65,120,0.00334531364064817,1.726922663571773,1.180878011143139,2.517527254310753
EXOC3,44,80,124,0.565308361399534,1.1171174728154833,0.7535129297567893,1.6373300185829893
EXOC3L1,196,446,642,0.1808286404467968,0.8857493515514782,0.7414497072876427,1.0552177484703296
EXOC3L2,14,31,45,0.874543389971791,0.9159033163476991,0.4496415533632558,1.7757270051054048
EXOC3L4,85,107,192,0.0011103522059165078,1.6253256905656348,1.204538427686434,2.187320119906977
EXOC4,85,191,276,0.4761960966908299,0.9006628296873288,0.6870306610716193,1.172583415429407
EXOC5,47,149,196,0.007172609651311294,0.6355230254147598,0.446696525800186,0.8898337818242293
EXOC6,29,80,109,0.18307519577095907,0.7334201198483157,0.4613927618855202,1.1367088544760444
EXOC6B,63,94,157,0.06024253615157049,1.3656509703048436,0.9739720105132548,1.9038158915344832
EXOC7,62,106,168,0.28348223407477224,1.1896215813904587,0.8530576590152766,1.6469544067554702
EXOC8,42,67,109,0.22071695633662639,1.274659509841963,0.8437023107332372,1.9066065114106614
EXOG,29,83,112,0.1294330272487338,0.7066501275219632,0.4454400193421693,1.0924573922822784
EXOSC1,27,42,69,0.3045162124843273,1.306243483851919,0.7732325837629159,2.172558549329937
EXOSC10,91,169,260,0.5050487573427838,1.094608093996389,0.8362724806660766,1.4251278847419928
EXOSC2,18,23,41,0.13810034315561465,1.5904173158322088,0.8077219552226786,3.0844327081997074
EXOSC3,39,32,71,0.00018700004105123402,2.4873272027123563,1.5158207748929662,4.108830633908873
EXOSC4,36,59,95,0.32475660754287394,1.2400515245701924,0.7942087933335256,1.9123397446811512
EXOSC5,15,29,44,0.8733594271585375,1.0495288071296824,0.5222977131851169,2.025380500440825
EXOSC7,14,32,46,0.7562170437743251,0.8871728647448848,0.4368749599242013,1.7128931240572065
