gene,case_missense_mpc_2,control_missense_mpc_2,sample_missense_mpc_2,pval_missense_mpc_2,OR_missense_mpc_2,lowci_missense_mpc_2,highci_missense_mpc_2
MRGPRX2,64,136,200,0.8201055235521939,0.9539361036422171,0.6955274390235977,1.296702333317244
MRGPRX3,22,41,63,0.7884685163869636,1.0890816866299042,0.6169118224098923,1.8746331973907397
MRGPRX4,20,36,56,0.6706958845107214,1.127713121722567,0.6176890528637088,2.004117973260116
MRI1,51,123,174,0.3298624702625105,0.8390814357039987,0.5917042544239468,1.1749850758990967
MRM1,20,32,52,0.45995913960088136,1.2692846333171943,0.6870399808222882,2.2919897668556914
MRO,18,21,39,0.08885957607034607,1.7423276739078037,0.8739440205125686,3.43889351274686
MROH1,16,20,36,0.15686202532067633,1.6255360074879517,0.7866851150803289,3.305861766374598
MROH2B,40,104,144,0.2116877881185959,0.7779686412189243,0.5251097254615519,1.133003325686395
MROH6,32,100,132,0.032152321173227916,0.6462853232475573,0.4190542066314815,0.9729586270952656
MROH7-TTC4,22,35,57,0.3974732209121363,1.2767088885221276,0.7124324010816072,2.2418055230908216
MROH9,25,13,38,3.977929035761119e-05,3.920248418908242,1.9283215065758745,8.353076787707948
MRP63,8,13,21,0.6453313615684976,1.2489067125462245,0.4483435832946149,3.2539904969569036
MRPL1,13,16,29,0.2342334986433611,1.6504916769861897,0.7295297322542748,3.663794506443808
MRPL10,8,25,33,0.35529580759190976,0.6484868704712362,0.25257835039091453,1.484878307421479
MRPL11,23,28,51,0.07354341318671125,1.6704063209584616,0.9177167689018809,3.011786786556066
MRPL12,7,10,17,0.45184286409965063,1.420868758136642,0.458619764120146,4.1390279115834705
MRPL13,32,90,122,0.12148507752824948,0.719013362791002,0.4637428757913151,1.0895139480300287
MRPL14,4,11,15,0.7856274662146077,0.7374493466135567,0.17117193510177212,2.4908211130666893
MRPL15,75,163,238,0.6761597977310236,0.9321529718940615,0.6974231646428616,1.236375530191801
MRPL16,5,20,25,0.20402971405935566,0.5065689153418392,0.14847478171462547,1.392324993373426
MRPL17,5,8,13,0.7692388716735845,1.2682380568452256,0.32622998128794134,4.400822196642637
MRPL18,9,25,34,0.47015613110176646,0.7297187144978204,0.2994422438509624,1.618134513875074
MRPL19,6,14,20,0.9999999999999999,0.8692686922142097,0.2735580181601548,2.4101847559835288
MRPL2,27,73,100,0.2398414100570323,0.7485939819566805,0.46188382143460716,1.1809049376877971
MRPL20,6,9,15,0.587991742356172,1.3530467179507493,0.3959793188695153,4.259916715966868
MRPL21,16,32,48,1.0000000000000004,1.0144286311524346,0.5191375418307093,1.906586318517654
MRPL22,11,22,33,1.0000000000000002,1.014409903227343,0.44367691039528706,2.1853623688946384
MRPL23,2,6,8,1.0,0.6760955951230139,0.0666977235881098,3.783427789539207
MRPL24,8,5,13,0.038105424457576996,3.250264088398182,0.9368080633770203,12.632239838597789
MRPL27,5,7,12,0.5464992991868801,1.4496635577595398,0.36254721263036566,5.309681023873035
MRPL28,4,6,10,0.7385945905226379,1.3528638459489226,0.28061647306809245,5.707599797762488
MRPL3,77,165,242,0.7300492999495168,0.9456613315502878,0.7098831103449351,1.250533651838851
MRPL30,0,10,10,0.03670999994819773,0.0,0.0,0.9045334458122359
MRPL32,6,16,22,0.6555601308899607,0.7603926846460695,0.2434806487505398,2.0478993992716714
MRPL33,0,6,6,0.18725062603057638,0.0,0.0,1.7226616347077688
MRPL35,3,4,7,0.691234099771818,1.5219275420782505,0.22281976336141815,9.000803769858283
MRPL36,2,2,4,0.6030400067624689,2.029184483668168,0.14702005829452644,28.004710506925612
MRPL37,14,33,47,0.7563749615153174,0.8601849605851434,0.42476786838427083,1.6540405474897109
MRPL38,42,44,86,0.0025706897844621664,1.9467527016075614,1.2421934736339109,3.04687377041438
MRPL39,12,11,23,0.0729186070002994,2.216806879127138,0.8945534523843116,5.550171838317581
MRPL4,13,15,28,0.15815492451185126,1.7607508118101045,0.7701947366718814,3.9712727498043314
MRPL40,13,9,22,0.012317667269238086,2.936605340588425,1.1601151120240742,7.79144532935734
MRPL41,10,13,23,0.2770164987237922,1.561984664024627,0.6124861576321915,3.8599642336564712
MRPL42,5,12,17,0.9999999999999999,0.8451257035222527,0.23310030682093036,2.5793870649493416
MRPL43,1,4,5,0.9999999999999999,0.5070798432800369,0.010297689487110148,5.126476022802898
MRPL44,12,11,23,0.0729186070002994,2.216806879127138,0.8945534523843116,5.550171838317581
MRPL45,5,24,29,0.0767695130756951,0.42192941498020675,0.12564193734919857,1.1292835681052724
MRPL46,103,185,288,0.3109460451785288,1.1330344626030409,0.878730147143967,1.4543626032810437
MRPL47,5,12,17,0.9999999999999999,0.8451257035222527,0.23310030682093036,2.5793870649493416
MRPL48,6,4,10,0.09143223277365428,3.0459509791216175,0.7218325174100425,14.681316481947087
MRPL49,6,9,15,0.587991742356172,1.3530467179507493,0.3959793188695153,4.259916715966868
MRPL50,9,22,31,0.7061433878293317,0.8295645203882994,0.33588602669844847,1.8765928856142675
MRPL51,66,175,241,0.061809140993738014,0.761035924813897,0.5629272641890952,1.0185896659070917
MRPL52,3,7,10,1.0,0.8693702170905758,0.14496468619501005,3.8103229216241643
MRPL53,11,9,20,0.05378230793630418,2.4835829346079557,0.9347238330134043,6.786918303407145
MRPL54,4,7,11,0.7592512738679792,1.1594109996543627,0.24873594372491675,4.563667425415394
MRPL55,14,22,36,0.47935722201493147,1.2919934365346017,0.6106227260936604,2.6444355300825038
MRPL9,55,75,130,0.030537624956438792,1.494757343634201,1.0334472910867003,2.1502268424073336
MRPS10,14,8,22,0.004873444454255004,3.5593908807233547,1.3920475742539486,9.80180414107189
MRPS11,10,19,29,0.8454481965300341,1.0679193941460936,0.44308906342456816,2.4165861840475737
MRPS12,32,91,123,0.10184759893996531,0.7110245602072947,0.4588536554665834,1.076642185430467
MRPS14,4,4,8,0.4523734751766921,2.0297175857424876,0.37782843180445513,10.90380548758436
MRPS15,5,7,12,0.5464992991868801,1.4496635577595398,0.36254721263036566,5.309681023873035
MRPS16,47,77,124,0.2501346941177253,1.2411951268032422,0.8427884740542276,1.8112025491054464
MRPS17,2,9,11,0.35812366135381274,0.4505698786259907,0.04735311836431078,2.178385117930657
MRPS18A,8,3,11,0.008245542552674394,5.418138072935853,1.2995367105439808,31.72976825467722
MRPS18B,2,1,3,0.2550346148370204,4.058485292018265,0.21121917126250336,239.14629870833855
MRPS18C,2,3,5,0.6676448300058453,1.352681163414069,0.11290990395630233,11.810079668459114
MRPS2,18,17,35,0.029166336533632226,2.1533253371072254,1.0458304711325868,4.4519083376879935
MRPS21,1,5,6,0.6707416596800942,0.4056174204057831,0.008577246761065613,3.626725343699869
MRPS22,48,75,123,0.17684690322885518,1.3020616702187753,0.8850264313571593,1.899698543095869
MRPS23,13,36,49,0.36518216593089753,0.7316992826192368,0.3556403328904205,1.4148406295018332
MRPS24,25,57,82,0.723887034946265,0.8890882388933936,0.5313453355436552,1.4488899705580955
MRPS25,1,2,3,0.9999999999999999,1.0143725927892047,0.0171943168231569,19.498984920552154
MRPS26,12,37,49,0.22608080199726788,0.6569217128615775,0.31147955654341425,1.2896730298892198
MRPS27,50,108,158,0.7343171698759943,0.9384345530912527,0.6557291899560285,1.32722514586809
MRPS28,5,13,18,0.8036602976035558,0.7800398671838421,0.2175641321930686,2.33355415851736
MRPS30,47,102,149,0.726772245531671,0.9340091824079829,0.6451382285929818,1.3351829682343388
MRPS31,9,21,30,0.8468912448920545,0.8691670097171152,0.3500840633350242,1.9818559118623447
MRPS33,10,14,24,0.38818562170270865,1.4502467960229004,0.5757430406999204,3.5139143044347496
MRPS34,44,109,153,0.29902832311905103,0.8168833941826251,0.5607686138401309,1.1721333440940105
MRPS35,3,9,12,0.7614956812532333,0.6760117035373647,0.11765099467556217,2.710816618593027
MRPS5,37,61,98,0.3321497646219432,1.2327180929663042,0.7949680022230072,1.8884715075589242
MRPS6,9,18,27,0.9999999999999997,1.0144024256572608,0.4010417758048183,2.380470591317268
MRPS7,57,141,198,0.2227532997447644,0.8174641499591905,0.5886097464139923,1.122439789298911
MRPS9,16,56,72,0.05870249508812515,0.5779127604514718,0.3089987577574552,1.0234980754172762
MRRF,7,6,13,0.13930736031065777,2.369160202054857,0.6812455870937126,8.539003180150742
MRS2,9,16,25,0.8318075883150801,1.1414666030315677,0.4441725963667104,2.746128741394408
MRTO4,20,45,65,0.7918143360684377,0.9011559099318381,0.5033304724370713,1.5602111564493157
MRVI1,86,161,247,0.5389519963117646,1.0855622344882756,0.8231372398476162,1.4234745120595378
MS4A1,5,19,24,0.27763413415602617,0.5332968715986358,0.15550667860813924,1.4780881559946604
MS4A10,20,54,74,0.32142704149800255,0.7500849675632671,0.42464471430292355,1.2759137764045898
MS4A12,27,29,56,0.021704698860469072,1.8950346982025683,1.0777318284858683,3.3214274045677823
MS4A13,3,3,6,0.4036187918150712,2.029450965679079,0.27168517495293276,15.1641955057073
MS4A14,7,9,16,0.42590497285602996,1.5789164098367696,0.4993114649651486,4.768546426583933
MS4A15,17,51,68,0.19548859723085263,0.6748326420646681,0.3648493993817459,1.1899996317500852
MS4A2,7,8,15,0.2783374960683125,1.776504780709737,0.5479655373716955,5.610573154440589
MS4A3,26,25,51,0.010325506196815219,2.117293195937129,1.1732996670523752,3.82800119406089
MS4A4A,9,13,22,0.49673925287917337,1.4054486929194008,0.5297117305432296,3.5574857058414935
MS4A5,6,2,8,0.018674481981852648,6.0930220457977535,1.0889104788721022,61.79671114668531
MS4A6A,4,11,15,0.7856274662146077,0.7374493466135567,0.17117193510177212,2.4908211130666893
MS4A6E,7,5,12,0.07137062298127772,2.843282456343508,0.7762441847929351,11.36847653607606
MS4A7,57,118,175,0.9355981834929349,0.9796796767394224,0.6995040571361069,1.3585825069113502
MS4A8,18,29,47,0.4402431129485695,1.2603625668550493,0.6582957051651929,2.351017190684898
MSANTD1,0,9,9,0.03488858193549976,0.0,0.0,1.0273177360411299
MSANTD2,0,1,1,0.9999999999999999,0.0,0.0,79.02388266631878
MSANTD3,1,2,3,0.9999999999999999,1.0143725927892047,0.0171943168231569,19.498984920552154
MSANTD4,1,0,1,0.33017175083311967,inf,0.052018464830419324,inf
MSC,2,4,6,1.0000000000000002,1.0143763151399232,0.09170114745990235,7.0811817747290675
MSGN1,3,5,8,0.7242507908814891,1.2173602435350601,0.18895067136064247,6.260925435187645
MSH2,56,73,129,0.014130016950673988,1.564434632157958,1.0818026295157062,2.2518808756717092
MSH3,98,166,264,0.16438951110364808,1.202786697418965,0.9243878227500922,1.5581833178326172
MSH4,19,32,51,0.5513336904836127,1.205526766153268,0.6447072641010568,2.1959512480398553
MSH5,49,54,103,0.0021667133851138304,1.8516609528881451,1.2291022406392307,2.7835068435635617
MSH6,142,252,394,0.21000907794343268,1.1486102238183178,0.9248540261298956,1.4220540268513207
MSI1,1,1,2,0.5513490158118259,2.0289181396024274,0.025841350361913974,159.09232933227528
MSI2,13,34,47,0.5346202636791346,0.774919067435766,0.37485438004156363,1.5086260332952341
MSL1,1,3,4,0.9999999999999998,0.6761794432770978,0.012881146261914512,8.424766244846516
MSL2,3,15,18,0.20852555267038794,0.4053095326371889,0.07516429151330567,1.4339484675189575
MSL3,21,29,50,0.17780508429102906,1.4716277289439306,0.796560754864965,2.6751645893504294
MSLN,243,492,735,1.0,1.0021267854721356,0.8513692733136069,1.1772320912815812
MSMB,3,8,11,0.9999999999999999,0.7605784984620851,0.12991222252402948,3.171122107279845
MSMO1,51,102,153,0.9311950095008175,1.0145611016038705,0.7086275765257121,1.4369802939087426
MSMP,8,14,22,0.8209959253971318,1.1595763503654215,0.4211015518337873,2.964663737986759
MSN,3,7,10,1.0,0.8693702170905758,0.14496468619501005,3.8103229216241643
MSR1,63,114,177,0.4691274673662799,1.123128931173418,0.8101397902002657,1.5450341732198514
MSRA,6,29,35,0.04794375827383994,0.41886019161395904,0.14205107793446425,1.0278793039841445
MSRB1,16,28,44,0.6325283972642937,1.1599080831189337,0.5854436555578709,2.2222961978964264
MSRB2,64,79,143,0.004017328596621571,1.6543256190963138,1.1679884873587345,2.335311823714718
MSRB3,4,2,6,0.0969883526155232,4.060069806477633,0.5816004925303284,44.9011301989049
MSS51,32,36,68,0.019142783616512594,1.8100130559870167,1.0864629399335834,3.002656977002273
MST1,39,67,106,0.4078680149660035,1.1827119034958178,0.774279046679289,1.784814336521166
MST1R,159,231,390,0.0012064220245482503,1.4134069326569927,1.1430242965651491,1.744157982915312
MST4,53,74,127,0.045820203287142924,1.4592959327416715,1.0034687790426546,2.1095277139609228
MSTN,33,121,154,0.0018209325583710427,0.5494663444424582,0.3613280232213222,0.8150425222245241
MSTO1,21,43,64,1.0000000000000002,0.9907207587823998,0.5576676003090986,1.7093550630412968
MSX1,3,5,8,0.7242507908814891,1.2173602435350601,0.18895067136064247,6.260925435187645
MSX2,1,3,4,0.9999999999999998,0.6761794432770978,0.012881146261914512,8.424766244846516
MT1A,1,1,2,0.5513490158118259,2.0289181396024274,0.025841350361913974,159.09232933227528
MT1B,92,229,321,0.10402892444141124,0.8105610906653563,0.6272970592212903,1.0402786498942134
MT1E,5,3,8,0.1251476350904434,3.383910754504945,0.6579800774110268,21.80118276345308
MT1F,4,13,17,0.6064083979521389,0.623857211843901,0.14808006102093182,2.021232605556272
MT1G,4,18,22,0.1751206244103745,0.4502852019813661,0.11076639828031672,1.3682253320620392
MT1H,15,33,48,0.8784705387045059,0.9218531448078653,0.4646649623476413,1.7476247401248501
MT1HL1,57,117,174,1.0000000000000004,0.988180526714861,0.705266436774244,1.3710279902160272
MT1M,26,46,72,0.61538645886246,1.1476419448992066,0.679909135568128,1.899229148419807
MT1X,0,4,4,0.30953679369434733,0.0,0.0,3.0731969451652636
MT2A,1,3,4,0.9999999999999998,0.6761794432770978,0.012881146261914512,8.424766244846516
MT3,10,19,29,0.8454481965300341,1.0679193941460936,0.44308906342456816,2.4165861840475737
MT4,2,10,12,0.35842439206481297,0.405463516367958,0.043177219498606256,1.9039815403528761
MTA1,15,38,53,0.5586873172696167,0.8000749464797663,0.40831613690645907,1.4909440509071972
MTA2,4,8,12,0.9999999999999999,1.0143837656262462,0.22339094247984448,3.7890942368411524
MTA3,29,70,99,0.4545964617292308,0.8392917864628648,0.523819914700193,1.3136982490531328
MTAP,18,18,36,0.033883311744306976,2.033464822511564,0.9967551485769832,4.148674671382283
MTBP,74,118,192,0.1044509367582013,1.2775012650098565,0.9395733240187278,1.7276341220856841
MTCH1,5,3,8,0.1251476350904434,3.383910754504945,0.6579800774110268,21.80118276345308
MTCH2,7,14,21,1.0000000000000002,1.014394955840448,0.34620742826264195,2.688230106921896
MTCP1,0,2,2,1.0,0.0,0.0,10.79990352458474
MTDH,47,127,174,0.10397984029172982,0.7477224428906565,0.5220729604394686,1.0552662082409392
MTERF,33,48,81,0.15456008915714262,1.3981528881173115,0.8678555192217474,2.227693623604738
MTERFD1,8,27,35,0.2793991854802173,0.6003004023848093,0.2354718315436157,1.3599754099017762
MTERFD2,4,12,16,0.6023928175245032,0.67592776848641,0.15878170172565792,2.232094621439003
MTERFD3,29,38,67,0.08945615260733714,1.5523569041475385,0.9218173017956703,2.5889917807391285
MTF1,3,3,6,0.4036187918150712,2.029450965679079,0.27168517495293276,15.1641955057073
MTF2,9,16,25,0.8318075883150801,1.1414666030315677,0.4441725963667104,2.746128741394408
MTFMT,61,78,139,0.008255254278087836,1.595943508325848,1.1198425918051098,2.2654138665398484
MTFP1,10,13,23,0.2770164987237922,1.561984664024627,0.6124861576321915,3.8599642336564712
MTFR1,22,24,46,0.04030831186790229,1.8645641440770309,0.9953344225904651,3.4763486143430575
MTFR1L,32,42,74,0.063651209062164,1.550226147210558,0.9455469315182415,2.5194397267260973
MTFR2,38,78,116,1.0,0.9882392273294932,0.6509795379291288,1.477531282363582
MTG1,100,166,266,0.11354186486301317,1.2279776940111888,0.9454224887520855,1.588401786826229
MTG2,91,129,220,0.00909387932754062,1.4415080503548348,1.0866991921035316,1.9054467378511177
MTHFD1,111,176,287,0.04195500032497474,1.2876762975248555,1.0028033008379644,1.6479241566947749
MTHFD1L,46,92,138,0.9276668202721827,1.0145420285843458,0.6945739789008345,1.4640942335096212
MTHFD2,13,59,72,0.005574761096602905,0.445167025206665,0.22369011337060904,0.8222467824367719
MTHFD2L,29,78,107,0.2155306039876031,0.7524101159958192,0.472665585740073,1.1682535450514107
MTHFR,60,123,183,1.0,0.9894598845436421,0.7124388586829052,1.3615298908239812
MTHFS,48,106,154,0.6667986535885814,0.9176544245780256,0.6369953848170649,1.3054201079387127
MTHFSD,50,136,186,0.0834876854367375,0.7425291608234729,0.5246097514858886,1.0366063080797203
MTIF2,34,107,141,0.02415347665626217,0.6415099781603999,0.42188481469192907,0.9536076312390724
MTIF3,19,24,43,0.14279047306708478,1.6090359118676512,0.8321819403427829,3.0688246557277266
MTL5,17,18,35,0.06987461335997393,1.9200257782027292,0.9285916233667315,3.9529482706031254
MTM1,10,22,32,1.0,0.9219545093958853,0.3893696336019071,2.031341312760049
MTMR1,14,48,62,0.10315933082128075,0.5902513618431158,0.30017150034651013,1.0900786703047312
MTMR10,21,26,47,0.11878165879476844,1.6420395300791624,0.8772117662498732,3.039250631095653
MTMR11,39,64,103,0.29413222233912023,1.238612134090263,0.808167403286504,1.876903472893628
MTMR12,70,118,188,0.2121392312455658,1.207195227893734,0.8827190808516605,1.6408043090029851
MTMR14,41,79,120,0.7707211777424959,1.0534452747173748,0.7026770351967689,1.558648457379478
MTMR2,20,49,69,0.5227975627397434,0.8271861050926338,0.4650298467069941,1.4198873970785775
MTMR3,13,54,67,0.018439584621902153,0.48669615747460593,0.24332981352118072,0.9050063274682932
MTMR4,23,54,77,0.6274243454733962,0.8632925316667406,0.5048610080662138,1.4331605924006758
MTMR6,56,118,174,0.8710842747543553,0.9622507292902447,0.6855304421968825,1.3368765943106484
MTMR7,37,45,82,0.024584341135268573,1.674484308275494,1.0519096824655823,2.650698740162344
MTMR8,20,26,46,0.15654780403828805,1.5634464374509955,0.8263635929780792,2.9160130793731613
MTMR9,23,49,72,0.9005218867810602,0.9519779961643074,0.5527146569568062,1.5953609692576394
MTNR1A,25,48,73,0.8040853893183832,1.056991454374624,0.6235108786689534,1.751667617130966
MTNR1B,108,195,303,0.3227111895163499,1.127138355551778,0.8796312776233861,1.4380512608915095
MTO1,93,198,291,0.7523586891665719,0.9517265863696707,0.733357451480811,1.227756536051528
MTOR,106,192,298,0.34958397459925417,1.1233943693046582,0.8747882705356366,1.4363206715056918
MTPAP,7,14,21,1.0000000000000002,1.014394955840448,0.34620742826264195,2.688230106921896
MTPN,1,4,5,0.9999999999999999,0.5070798432800369,0.010297689487110148,5.126476022802898
MTR,121,338,459,0.0019786121273276482,0.7174302464584273,0.5758226833334741,0.8890295325389369
MTRF1,99,168,267,0.16672108422277498,1.200601538442138,0.9240364553552209,1.553261139137833
MTRF1L,14,19,33,0.26792821517842547,1.4966323808204416,0.6935260058626167,3.1521095548808766
MTRR,131,375,506,0.00041343636563356546,0.6984997266205557,0.5658402065538451,0.8579690827020305
MTSS1,10,6,16,0.016423522934593822,3.387003299303874,1.1143493745945041,11.344911595451006
MTSS1L,6,14,20,0.9999999999999999,0.8692686922142097,0.2735580181601548,2.4101847559835288
MTTP,22,32,54,0.24637931746725739,1.3970132374251842,0.7722546932100102,2.483813851122725
MTURN,4,9,13,0.9999999999999998,0.9015655012744614,0.20275241979869071,3.2325794378038295
MTUS1,42,106,148,0.2530184954312527,0.8017183528648821,0.5457431595951743,1.1589629049946244
MTUS2,6,10,16,0.7911365108573414,1.21752924478266,0.3634067404195337,3.700472938809345
MTX1,7,13,20,0.8160773357541281,1.0925477391161256,0.36879958058161805,2.9492766668001518
MTX2,4,2,6,0.0969883526155232,4.060069806477633,0.5816004925303284,44.9011301989049
MTX3,1,2,3,0.9999999999999999,1.0143725927892047,0.0171943168231569,19.498984920552154
MUC1,20,23,43,0.07294147433828613,1.768047373421182,0.9197572690465324,3.3711666298100793
MUC13,21,60,81,0.19298356821295498,0.7084892331615098,0.4086858240171525,1.1838252655371553
MUC15,19,29,48,0.35698780788827195,1.3308119694647305,0.7041722389066593,2.459195722979769
MUC16,538,1170,1708,0.155672498284199,0.9220035072016384,0.8240925360200255,1.0306687869782876
MUC17,21,58,79,0.2796559261849049,0.7330949518376288,0.4219510764040198,1.2283798312802172
MUC20,16,62,78,0.02104743990356866,0.5215868823285241,0.28055335217129346,0.916469663350438
MUC21,75,112,187,0.041443314003769355,1.3656299123516815,1.0027589444222729,1.8508667008479744
MUC3A,5,9,14,0.783609624575349,1.1272167283261645,0.29655538434963896,3.7483342658131185
MUC4,25,36,61,0.21864110855715418,1.4115001493702775,0.8108957520748268,2.421265028939951
MUC5AC,46,96,142,0.928581950050864,0.9717354584456435,0.6668986363788613,1.398232320561477
MUC5B,919,1455,2374,6.445771013780806e-11,1.3691968016748843,1.2454352340587003,1.5047465706928211
MUC6,141,275,416,0.7103022455419254,1.0416884335844139,0.8409243437592737,1.2858833060397512
MUC7,81,71,152,3.159741545021326e-07,2.342444607713156,1.6778710544814117,3.2764479617344
MUCL1,0,3,3,0.5555283985377909,0.0,0.0,4.909881158898293
